Time,Head,Head_aim,Head_desired
2.830000,0.056009,0.614783,0.000000
2.840000,0.056578,0.613136,0.000000
2.850000,0.057151,0.611497,0.000000
2.860000,0.057725,0.609865,0.000000
2.870000,0.058303,0.608241,0.000000
2.880000,0.058888,0.606625,0.000000
2.890000,0.059477,0.605016,0.000000
2.900000,0.060072,0.603414,0.000000
2.910000,0.060672,0.601821,0.000000
2.920000,0.061277,0.600234,0.000000
2.930000,0.061882,0.598655,0.000000
2.940000,0.062493,0.597084,0.000000
2.950000,0.063109,0.595520,0.000000
2.960000,0.063731,0.593963,0.000000
2.970000,0.064359,0.592413,0.000000
2.980000,0.064992,0.590871,0.000000
2.990000,0.065630,0.589335,0.000000
3.000000,0.066268,0.587807,0.000000
3.010000,0.066911,0.586286,0.000000
3.020000,0.067561,0.584772,0.000000
3.030000,0.068216,0.583265,0.000000
3.040000,0.068878,0.581765,0.000000
3.050000,0.069545,0.580271,0.000000
3.060000,0.070218,0.578785,0.000000
3.070000,0.070889,0.577305,0.000000
3.080000,0.071567,0.575833,0.000000
3.090000,0.072251,0.574366,0.000000
3.100000,0.072941,0.572907,0.000000
3.110000,0.073637,0.571454,0.000000
3.120000,0.074340,0.570008,0.000000
3.130000,0.075048,0.568569,0.000000
3.140000,0.075754,0.567136,0.000000
3.150000,0.076467,0.565710,0.000000
3.160000,0.077186,0.564290,0.000000
3.170000,0.077912,0.562876,0.000000
3.180000,0.078644,0.561469,0.000000
3.190000,0.079383,0.560068,0.000000
3.200000,0.080128,0.558674,0.000000
3.210000,0.080870,0.557286,0.000000
3.220000,0.081619,0.555904,0.000000
3.230000,0.082374,0.554528,0.000000
3.240000,0.083137,0.553158,0.000000
3.250000,0.083906,0.551795,0.000000
3.260000,0.084682,0.550438,0.000000
3.270000,0.085465,0.549087,0.000000
3.280000,0.086243,0.547741,0.000000
3.290000,0.087028,0.546402,0.000000
3.300000,0.087821,0.545069,0.000000
3.310000,0.088621,0.543742,0.000000
3.320000,0.089428,0.542420,0.000000
3.330000,0.090242,0.541105,0.000000
3.340000,0.091063,0.539795,0.000000
3.350000,0.091879,0.538491,0.000000
3.360000,0.092702,0.537193,0.000000
3.370000,0.093532,0.535900,0.000000
3.380000,0.094370,0.534614,0.000000
3.390000,0.095215,0.533332,0.000000
3.400000,0.096068,0.532057,0.000000
3.410000,0.096928,0.530787,0.000000
3.420000,0.097781,0.529523,0.000000
3.430000,0.098642,0.528264,0.000000
3.440000,0.099511,0.527010,0.000000
3.450000,0.100388,0.525762,0.000000
3.460000,0.101272,0.524520,0.000000
3.470000,0.102164,0.523283,0.000000
3.480000,0.103064,0.522051,0.000000
3.490000,0.103955,0.520825,0.000000
3.500000,0.104854,0.519604,0.000000
3.510000,0.105762,0.518388,0.000000
3.520000,0.106677,0.517177,0.000000
3.530000,0.107601,0.515972,0.000000
3.540000,0.108532,0.514772,0.000000
3.550000,0.109472,0.513577,0.000000
3.560000,0.110401,0.512387,0.000000
3.570000,0.111338,0.511202,0.000000
3.580000,0.112284,0.510022,0.000000
3.590000,0.113239,0.508848,0.000000
3.600000,0.114202,0.507678,0.000000
3.610000,0.115173,0.506513,0.000000
3.620000,0.116152,0.505353,0.000000
3.630000,0.117119,0.504199,0.000000
3.640000,0.118095,0.503049,0.000000
3.650000,0.119079,0.501903,0.000000
3.660000,0.120073,0.500763,0.000000
3.670000,0.121074,0.499628,0.000000
3.680000,0.122085,0.498497,0.000000
3.690000,0.123104,0.497371,0.000000
3.700000,0.124108,0.496250,0.000000
3.710000,0.125122,0.495133,0.000000
3.720000,0.126144,0.494021,0.000000
3.730000,0.127175,0.492914,0.000000
3.740000,0.128216,0.491811,0.000000
3.750000,0.129265,0.490713,0.000000
3.760000,0.130323,0.489620,0.000000
3.770000,0.131364,0.488531,0.000000
3.780000,0.132414,0.487446,0.000000
3.790000,0.133473,0.486366,0.000000
3.800000,0.134542,0.485291,0.000000
3.810000,0.135620,0.484220,0.000000
3.820000,0.136707,0.483153,0.000000
3.830000,0.137804,0.482091,0.000000
3.840000,0.138880,0.481033,0.000000
3.850000,0.139965,0.479979,0.000000
3.860000,0.141060,0.478930,0.000000
3.870000,0.142165,0.477885,0.000000
3.880000,0.143279,0.476844,0.000000
3.890000,0.144403,0.475807,0.000000
3.900000,0.145536,0.474775,0.000000
3.910000,0.146646,0.473747,0.000000
3.920000,0.147765,0.472723,0.000000
3.930000,0.148895,0.471703,0.000000
3.940000,0.150034,0.470687,0.000000
3.950000,0.151183,0.469675,0.000000
3.960000,0.152341,0.468668,0.000000
3.970000,0.153510,0.467664,0.000000
3.980000,0.154651,0.466664,0.000000
3.990000,0.155802,0.465669,0.000000
4.000000,0.156963,0.464677,0.000000
4.010000,0.158134,0.463690,0.000000
4.020000,0.159315,0.462706,0.000000
4.030000,0.160507,0.461726,0.000000
4.040000,0.161708,0.460750,0.000000
4.050000,0.162878,0.459778,0.000000
4.060000,0.164058,0.458810,0.000000
4.070000,0.165249,0.457845,0.000000
4.080000,0.166450,0.456884,0.000000
4.090000,0.167661,0.455928,0.000000
4.100000,0.168882,0.454974,0.000000
4.110000,0.170113,0.454025,0.000000
4.120000,0.171309,0.453079,0.000000
4.130000,0.172515,0.452137,0.000000
4.140000,0.173732,0.451199,0.000000
4.150000,0.174959,0.450264,0.000000
4.160000,0.176197,0.449333,0.000000
4.170000,0.177445,0.448405,0.000000
4.180000,0.178703,0.447481,0.000000
4.190000,0.179921,0.446561,0.000000
4.200000,0.181150,0.445644,0.000000
4.210000,0.182389,0.444731,0.000000
4.220000,0.183638,0.443821,0.000000
4.230000,0.184899,0.442915,0.000000
4.240000,0.186169,0.442012,0.000000
4.250000,0.187451,0.441112,0.000000
4.260000,0.188687,0.440216,0.000000
4.270000,0.189934,0.439324,0.000000
4.280000,0.191191,0.438435,0.000000
4.290000,0.192459,0.437549,0.000000
4.300000,0.193738,0.436666,0.000000
4.310000,0.195027,0.435787,0.000000
4.320000,0.196327,0.434911,0.000000
4.330000,0.197576,0.434038,0.000000
4.340000,0.198836,0.433169,0.000000
4.350000,0.200107,0.432303,0.000000
4.360000,0.201389,0.431440,0.000000
4.370000,0.202681,0.430580,0.000000
4.380000,0.203984,0.429724,0.000000
4.390000,0.205297,0.428870,0.000000
4.400000,0.206555,0.428020,0.000000
4.410000,0.207823,0.427173,0.000000
4.420000,0.209102,0.426329,0.000000
4.430000,0.210391,0.425489,0.000000
4.440000,0.211691,0.424651,0.000000
4.450000,0.213002,0.423816,0.000000
4.460000,0.214323,0.422985,0.000000
4.470000,0.215583,0.422156,0.000000
4.480000,0.216853,0.421330,0.000000
4.490000,0.218134,0.420508,0.000000
4.500000,0.219426,0.419688,0.000000
4.510000,0.220728,0.418872,0.000000
4.520000,0.222041,0.418058,0.000000
4.530000,0.223364,0.417247,0.000000
4.540000,0.224619,0.416439,0.000000
4.550000,0.225886,0.415635,0.000000
4.560000,0.227162,0.414832,0.000000
4.570000,0.228449,0.414033,0.000000
4.580000,0.229747,0.413237,0.000000
4.590000,0.231055,0.412443,0.000000
4.600000,0.232373,0.411653,0.000000
4.610000,0.233618,0.410865,0.000000
4.620000,0.234873,0.410080,0.000000
4.630000,0.236138,0.409297,0.000000
4.640000,0.237413,0.408518,0.000000
4.650000,0.238699,0.407741,0.000000
4.660000,0.239995,0.406967,0.000000
4.670000,0.241302,0.406195,0.000000
4.680000,0.242528,0.405427,0.000000
4.690000,0.243765,0.404660,0.000000
4.700000,0.245011,0.403897,0.000000
4.710000,0.246268,0.403136,0.000000
4.720000,0.247535,0.402378,0.000000
4.730000,0.248811,0.401623,0.000000
4.740000,0.250098,0.400870,0.000000
4.750000,0.251299,0.400119,0.000000
4.760000,0.252509,0.399371,0.000000
4.770000,0.253730,0.398626,0.000000
4.780000,0.254960,0.397884,0.000000
4.790000,0.256200,0.397143,0.000000
4.800000,0.257449,0.396406,0.000000
4.810000,0.258709,0.395671,0.000000
4.820000,0.259876,0.394938,0.000000
4.830000,0.261052,0.394208,0.000000
4.840000,0.262238,0.393480,0.000000
4.850000,0.263434,0.392755,0.000000
4.860000,0.264639,0.392032,0.000000
4.870000,0.265853,0.391311,0.000000
4.880000,0.267077,0.390593,0.000000
4.890000,0.268203,0.389878,0.000000
4.900000,0.269337,0.389164,0.000000
4.910000,0.270481,0.388453,0.000000
4.920000,0.271634,0.387745,0.000000
4.930000,0.272796,0.387039,0.000000
4.940000,0.273967,0.386335,0.000000
4.950000,0.275146,0.385633,0.000000
4.960000,0.276223,0.384934,0.000000
4.970000,0.277308,0.384237,0.000000
4.980000,0.278401,0.383542,0.000000
4.990000,0.279503,0.382849,0.000000
5.000000,0.280614,0.382159,0.000000
5.010000,0.281733,0.381471,0.000000
5.020000,0.282861,0.380785,0.000000
5.030000,0.283880,0.380102,0.000000
5.040000,0.284907,0.379420,0.000000
5.050000,0.285943,0.378741,0.000000
5.060000,0.286986,0.378064,0.000000
5.070000,0.288038,0.377389,0.000000
5.080000,0.289097,0.376716,0.000000
5.090000,0.290164,0.376046,0.000000
5.100000,0.291119,0.375377,0.000000
5.110000,0.292081,0.374711,0.000000
5.120000,0.293051,0.374047,0.000000
5.130000,0.294028,0.373385,0.000000
5.140000,0.295013,0.372725,0.000000
5.150000,0.296005,0.372067,0.000000
5.160000,0.297004,0.371411,0.000000
5.170000,0.297887,0.370757,0.000000
5.180000,0.298778,0.370105,0.000000
5.190000,0.299674,0.369455,0.000000
5.200000,0.300578,0.368808,0.000000
5.210000,0.301489,0.368162,0.000000
5.220000,0.302406,0.367518,0.000000
5.230000,0.303330,0.366876,0.000000
5.240000,0.304136,0.366236,0.000000
5.250000,0.304947,0.365598,0.000000
5.260000,0.305765,0.364963,0.000000
5.270000,0.306589,0.364329,0.000000
5.280000,0.307419,0.363697,0.000000
5.290000,0.308255,0.363067,0.000000
5.300000,0.309097,0.362438,0.000000
5.310000,0.309819,0.361812,0.000000
5.320000,0.310546,0.361188,0.000000
5.330000,0.311279,0.360565,0.000000
5.340000,0.312017,0.359945,0.000000
5.350000,0.312761,0.359326,0.000000
5.360000,0.313510,0.358709,0.000000
5.370000,0.314265,0.358094,0.000000
5.380000,0.314899,0.357481,0.000000
5.390000,0.315537,0.356869,0.000000
5.400000,0.316181,0.356260,0.000000
5.410000,0.316829,0.355652,0.000000
5.420000,0.317481,0.355046,0.000000
5.430000,0.318139,0.354442,0.000000
5.440000,0.318801,0.353840,0.000000
5.450000,0.319343,0.353239,0.000000
5.460000,0.319889,0.352640,0.000000
5.470000,0.320439,0.352043,0.000000
5.480000,0.320993,0.351448,0.000000
5.490000,0.321551,0.350855,0.000000
5.500000,0.322113,0.350263,0.000000
5.510000,0.322680,0.349673,0.000000
5.520000,0.323127,0.349084,0.000000
5.530000,0.323579,0.348498,0.000000
5.540000,0.324033,0.347913,0.000000
5.550000,0.324491,0.347330,0.000000
5.560000,0.324952,0.346748,0.000000
5.570000,0.325416,0.346168,0.000000
5.580000,0.325884,0.345590,0.000000
5.590000,0.326236,0.345014,0.000000
5.600000,0.326591,0.344439,0.000000
5.610000,0.326949,0.343866,0.000000
5.620000,0.327310,0.343294,0.000000
5.630000,0.327672,0.342724,0.000000
5.640000,0.328038,0.342156,0.000000
5.650000,0.328406,0.341589,0.000000
5.660000,0.328663,0.341024,0.000000
5.670000,0.328923,0.340461,0.000000
5.680000,0.329184,0.339899,0.000000
5.690000,0.329447,0.339339,0.000000
5.700000,0.329712,0.338780,0.000000
5.710000,0.329979,0.338223,0.000000
5.720000,0.330247,0.337667,0.000000
5.730000,0.330411,0.337114,0.000000
5.740000,0.330576,0.336561,0.000000
5.750000,0.330742,0.336010,0.000000
5.760000,0.330910,0.335461,0.000000
5.770000,0.331078,0.334914,0.000000
5.780000,0.331248,0.334367,0.000000
5.790000,0.331419,0.333823,0.000000
5.800000,0.331492,0.333280,0.000000
5.810000,0.331566,0.332738,0.000000
5.820000,0.331640,0.332198,0.000000
5.830000,0.331715,0.331659,0.000000
5.840000,0.331790,0.331122,0.000000
5.850000,0.331866,0.330587,0.000000
5.860000,0.331942,0.330053,0.000000
5.870000,0.331929,0.329520,0.000000
5.880000,0.331915,0.328989,0.000000
5.890000,0.331902,0.328459,0.000000
5.900000,0.331888,0.327931,0.000000
5.910000,0.331874,0.327405,0.000000
5.920000,0.331860,0.326879,0.000000
5.930000,0.331846,0.326356,0.000000
5.940000,0.331751,0.325833,0.000000
5.950000,0.331656,0.325312,0.000000
5.960000,0.331560,0.324793,0.000000
5.970000,0.331463,0.324275,0.000000
5.980000,0.331365,0.323758,0.000000
5.990000,0.331267,0.323243,0.000000
6.000000,0.331168,0.322729,0.000000
6.010000,0.330998,0.322217,0.000000
6.020000,0.330827,0.321706,0.000000
6.030000,0.330655,0.321196,0.000000
6.040000,0.330481,0.320688,0.000000
6.050000,0.330307,0.320181,0.000000
6.060000,0.330131,0.319676,0.000000
6.070000,0.329954,0.319172,0.000000
6.080000,0.329716,0.318669,0.000000
6.090000,0.329476,0.318168,0.000000
6.100000,0.329234,0.317668,0.000000
6.110000,0.328991,0.317169,0.000000
6.120000,0.328747,0.316672,0.000000
6.130000,0.328500,0.316176,0.000000
6.140000,0.328253,0.315682,0.000000
6.150000,0.327954,0.315189,0.000000
6.160000,0.327653,0.314697,0.000000
6.170000,0.327351,0.314206,0.000000
6.180000,0.327046,0.313717,0.000000
6.190000,0.326739,0.313229,0.000000
6.200000,0.326431,0.312743,0.000000
6.210000,0.326120,0.312257,0.000000
6.220000,0.325769,0.311774,0.000000
6.230000,0.325415,0.311291,0.000000
6.240000,0.325060,0.310810,0.000000
6.250000,0.324702,0.310330,0.000000
6.260000,0.324341,0.309851,0.000000
6.270000,0.323979,0.309373,0.000000
6.280000,0.323614,0.308897,0.000000
6.290000,0.323218,0.308422,0.000000
6.300000,0.322820,0.307949,0.000000
6.310000,0.322420,0.307477,0.000000
6.320000,0.322017,0.307005,0.000000
6.330000,0.321611,0.306536,0.000000
6.340000,0.321203,0.306067,0.000000
6.350000,0.320792,0.305600,0.000000
6.360000,0.320360,0.305134,0.000000
6.370000,0.319926,0.304669,0.000000
6.380000,0.319489,0.304205,0.000000
6.390000,0.319049,0.303743,0.000000
6.400000,0.318607,0.303282,0.000000
6.410000,0.318162,0.302822,0.000000
6.420000,0.317713,0.302363,0.000000
6.430000,0.317254,0.301906,0.000000
6.440000,0.316791,0.301450,0.000000
6.450000,0.316326,0.300995,0.000000
6.460000,0.315857,0.300541,0.000000
6.470000,0.315386,0.300088,0.000000
6.480000,0.314911,0.299637,0.000000
6.490000,0.314434,0.299187,0.000000
6.500000,0.313954,0.298738,0.000000
6.510000,0.313470,0.298290,0.000000
6.520000,0.312984,0.297843,0.000000
6.530000,0.312494,0.297398,0.000000
6.540000,0.312001,0.296953,0.000000
6.550000,0.311506,0.296510,0.000000
6.560000,0.311007,0.296068,0.000000
6.570000,0.310512,0.295627,0.000000
6.580000,0.310015,0.295188,0.000000
6.590000,0.309514,0.294749,0.000000
6.600000,0.309010,0.294312,0.000000
6.610000,0.308503,0.293875,0.000000
6.620000,0.307993,0.293440,0.000000
6.630000,0.307480,0.293006,0.000000
6.640000,0.306977,0.292574,0.000000
6.650000,0.306472,0.292142,0.000000
6.660000,0.305963,0.291711,0.000000
6.670000,0.305451,0.291282,0.000000
6.680000,0.304936,0.290854,0.000000
6.690000,0.304418,0.290426,0.000000
6.700000,0.303897,0.290000,0.000000
6.710000,0.303391,0.289575,0.000000
6.720000,0.302882,0.289151,0.000000
6.730000,0.302371,0.288728,0.000000
6.740000,0.301856,0.288307,0.000000
6.750000,0.301338,0.287886,0.000000
6.760000,0.300817,0.287466,0.000000
6.770000,0.300293,0.287048,0.000000
6.780000,0.299789,0.286630,0.000000
6.790000,0.299282,0.286214,0.000000
6.800000,0.298772,0.285799,0.000000
6.810000,0.298259,0.285385,0.000000
6.820000,0.297743,0.284971,0.000000
6.830000,0.297224,0.284559,0.000000
6.840000,0.296701,0.284148,0.000000
6.850000,0.296202,0.283738,0.000000
6.860000,0.295700,0.283329,0.000000
6.870000,0.295195,0.282921,0.000000
6.880000,0.294687,0.282514,0.000000
6.890000,0.294176,0.282108,0.000000
6.900000,0.293662,0.281704,0.000000
6.910000,0.293145,0.281300,0.000000
6.920000,0.292654,0.280897,0.000000
6.930000,0.292160,0.280495,0.000000
6.940000,0.291662,0.280094,0.000000
6.950000,0.291162,0.279695,0.000000
6.960000,0.290659,0.279296,0.000000
6.970000,0.290153,0.278898,0.000000
6.980000,0.289645,0.278501,0.000000
